time,global_tips,avg_local_tips,min_local_tips,max_local_tips,total_nodes,tip_ratio,messages_sent
0,4,1,1,1,5,0.8,36
1,6,1,1,1,9,0.666667,72
2,6,1.5,1,3,11,0.545455,90
3,6,3,1,5,14,0.428571,117
4,6,4.4,3,6,15,0.4,126
5,8,4.9,3,6,21,0.380952,180
6,9,5.5,4,7,24,0.375,207
7,12,5.3,4,7,29,0.413793,252
8,12,5.9,5,8,32,0.375,279
9,12,7.2,6,9,35,0.342857,306
10,12,9.2,7,11,38,0.315789,333
11,12,10.2,9,12,41,0.292683,360
12,13,10.3,9,12,46,0.282609,405
13,16,10.4,9,11,50,0.32,441
14,15,10.8,10,13,51,0.294118,450
15,14,11.5,10,13,54,0.259259,477
16,13,13.2,11,14,55,0.236364,486
17,12,13.8,12,15,58,0.206897,513
18,12,13.5,12,14,61,0.196721,540
19,11,12.7,12,14,64,0.171875,567
20,12,11.8,10,14,68,0.176471,603
21,11,11.1,10,12,70,0.157143,621
22,11,11.1,9,13,74,0.148649,657
23,12,10.9,9,12,79,0.151899,702
24,12,10.9,9,13,81,0.148148,720
25,13,9.8,9,11,85,0.152941,756
26,12,10.2,8,12,89,0.134831,792
27,14,11.3,10,14,91,0.153846,810
28,16,11.4,11,12,95,0.168421,846
29,16,12.3,11,14,97,0.164948,864
30,16,12.7,11,15,100,0.16,891
31,14,14,12,16,105,0.133333,936
32,14,14.3,13,16,108,0.12963,963
33,17,14.1,13,15,113,0.150442,1008
34,16,13.8,12,15,115,0.13913,1026
35,15,14,12,15,118,0.127119,1053
36,16,15.2,13,18,120,0.133333,1071
37,17,15.3,14,18,124,0.137097,1107
38,17,15.3,14,17,127,0.133858,1134
39,17,14.9,14,17,131,0.129771,1170
40,16,15.8,14,17,133,0.120301,1188
41,16,16,14,18,136,0.117647,1215
42,15,16,14,17,139,0.107914,1242
43,14,15.6,14,17,143,0.0979021,1278
44,16,15,14,17,147,0.108844,1314
45,15,14.2,12,16,149,0.100671,1332
46,13,14.5,13,16,151,0.0860927,1350
47,14,13.5,12,15,155,0.0903226,1386
48,12,14.1,12,15,157,0.0764331,1404
49,13,13.2,12,15,159,0.081761,1422
50,14,12.1,11,13,165,0.0848485,1476
51,15,11.9,11,13,167,0.0898204,1494
52,16,11.7,10,13,172,0.0930233,1539
53,18,12.6,11,14,176,0.102273,1575
54,16,14.2,13,16,179,0.0893855,1602
55,16,14.9,13,18,181,0.0883978,1620
56,16,14.9,13,17,183,0.0874317,1638
57,14,15.2,14,16,189,0.0740741,1692
58,13,15.4,15,16,191,0.0680628,1710
59,12,14.9,13,16,193,0.0621762,1728
60,11,14,12,16,195,0.0564103,1746
61,10,12.7,11,14,196,0.0510204,1755
62,10,12.2,11,13,198,0.0505051,1773
63,9,11.4,10,12,200,0.045,1791
64,8,10.6,9,12,202,0.039604,1809
65,10,9.4,8,10,207,0.0483092,1854
66,12,8.5,7,10,212,0.0566038,1899
67,12,8.1,6,9,215,0.055814,1926
68,11,8.7,7,11,217,0.0506912,1944
69,12,9.2,6,12,225,0.0533333,2016
70,13,10,7,12,226,0.0575221,2025
71,13,10.2,8,12,226,0.0575221,2025
72,12,10.5,10,12,229,0.0524017,2052
73,12,10.7,9,13,234,0.0512821,2097
74,13,11.5,10,12,238,0.0546218,2133
75,14,11.3,10,12,241,0.0580913,2160
76,13,10.9,10,12,244,0.0532787,2187
77,13,11.8,10,13,247,0.0526316,2214
78,12,12.4,11,14,248,0.0483871,2223
79,11,11.9,10,13,252,0.0436508,2259
80,11,12.4,11,14,255,0.0431373,2286
81,13,11.7,10,13,258,0.0503876,2313
82,14,10.8,9,13,261,0.0536398,2340
83,14,11,10,13,264,0.0530303,2367
84,12,12,11,15,267,0.0449438,2394
85,13,12.5,10,15,271,0.0479705,2430
86,12,13,11,15,273,0.043956,2448
87,10,13.1,12,14,275,0.0363636,2466
88,10,12,10,14,280,0.0357143,2511
89,11,11.1,10,12,283,0.0388693,2538
90,14,10,8,11,289,0.0484429,2592
91,16,9,8,10,294,0.0544218,2637
92,16,9.6,7,11,298,0.0536913,2673
93,18,11.1,10,13,300,0.06,2691
94,17,12.7,10,15,304,0.0559211,2727
95,16,15.6,13,17,306,0.0522876,2745
96,15,16.5,15,18,308,0.0487013,2763
97,15,16.1,14,18,309,0.0485437,2772
98,14,15.1,13,16,313,0.0447284,2808
99,12,14.3,13,16,318,0.0377358,2853
100,13,13.3,12,15,321,0.0404984,2880
